0,0.64085
0.54201,0.64085
1.084,0.64085
1.626,0.64085
2.168,0.64085
2.71,0.64085
3.252,0.64085
3.794,0.64085
4.336,0.64085
4.878,0.64085
5.4201,0.64085
5.9621,0.64085
6.5041,0.64085
7.0461,0.64085
7.5881,0.64085
8.1301,0.64085
8.6721,0.64085
9.2141,0.64085
9.7561,0.64085
10.298,0.64085
10.84,0.64085
11.382,0.64085
11.924,0.66088
12.466,0.67089
13.008,0.68091
13.55,0.68091
14.092,0.70093
14.634,0.72096
15.176,0.73097
15.718,0.80107
16.26,0.82109
16.802,0.83111
17.344,0.87116
17.886,0.89119
18.428,0.91121
18.97,0.96128
19.512,0.98131
20.054,1.0013
20.596,1.0414
21.138,1.0814
21.68,1.1015
22.222,1.1415
22.764,1.1816
23.306,1.2016
23.848,1.2316
24.39,1.2817
24.932,1.3017
25.474,1.3618
26.016,1.4119
26.558,1.4419
27.1,1.502
27.642,1.5621
28.184,1.5921
28.726,1.6222
29.268,1.6522
29.81,1.6923
30.352,1.7523
30.894,1.7724
31.436,1.8024
31.978,1.8825
32.52,1.9426
33.062,1.9726
33.604,2.0027
34.146,2.0227
34.688,2.0628
35.23,2.0828
35.772,2.1429
36.314,2.213
36.856,2.233
37.398,2.273
37.94,2.3231
38.482,2.3832
39.024,2.4132
39.566,2.4533
40.108,2.4833
40.65,2.5334
41.192,2.5834
41.734,2.6135
42.276,2.6736
42.818,2.6936
43.36,2.7236
43.902,2.7336
44.444,2.7837
44.986,2.8037
45.528,2.8438
46.07,2.9039
46.612,2.9339
47.154,2.964
47.696,3.0441
48.238,3.0741
48.78,3.1041
49.322,3.1242
49.864,3.1542
50.407,3.1943
50.949,3.2443
51.491,3.2543
52.033,3.2844
52.575,3.3545
53.117,3.3645
53.659,3.3845
54.201,3.4146
54.743,3.4446
55.285,3.4746
55.827,3.4947
56.369,3.5247
56.911,3.5447
57.453,3.5748
57.995,3.6048
58.537,3.6248
59.079,3.6449
59.621,3.6749
60.163,3.6849
60.705,3.725
61.247,3.745
61.789,3.765
62.331,3.8051
62.873,3.8351
63.415,3.8351
63.957,3.8551
64.499,3.9052
65.041,3.9252
65.583,3.9753
66.125,3.9853
66.667,3.9953
67.209,4.0154
67.751,4.0754
68.293,4.0854
68.835,4.0955
69.377,4.1155
69.919,4.1355
70.461,4.1656
71.003,4.2056
71.545,4.2256
72.087,4.2457
72.629,4.2657
73.171,4.3057
73.713,4.3158
74.255,4.3458
74.797,4.3658
75.339,4.3758
75.881,4.4159
76.423,4.4259
76.965,4.4359
77.507,4.476
78.049,4.506
78.591,4.506
79.133,4.526
79.675,4.5561
80.217,4.5661
80.759,4.5961
81.301,4.6162
81.843,4.6262
82.385,4.6362
82.927,4.6662
83.469,4.6662
84.011,4.6963
84.553,4.7263
85.095,4.7263
85.637,4.7463
86.179,4.7764
86.721,4.7964
87.263,4.8164
87.805,4.8264
88.347,4.8465
88.889,4.8565
89.431,4.8665
89.973,4.9166
90.515,4.9166
91.057,4.9366
91.599,4.9766
92.141,4.9766
92.683,5.0167
93.225,5.0167
93.767,5.0167
94.309,5.0267
94.851,5.0567
95.393,5.0668
95.935,5.0768
96.477,5.0868
97.019,5.0968
97.561,5.1368
98.103,5.1469
